content_id,title,description,subject,level,content_duration,language
1070968,Ultimate Investment Banking Course,Ultimate Investment Banking Course,Business Finance,All Levels,1.5,en
1113822,Complete GST Course & Certification - Grow Your CA Practice,Complete GST Course & Certification - Grow Your CA Practice,Business Finance,All Levels,39.0,en
1006314,Financial Modeling for Business Analysts and Consultants,Financial Modeling for Business Analysts and Consultants,Business Finance,Intermediate Level,2.5,en
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Beginner to Pro - Financial Analysis in Excel 2017,Business Finance,All Levels,3.0,en
1011058,How To Maximize Your Profits Trading Options,How To Maximize Your Profits Trading Options,Business Finance,Intermediate Level,2.0,en
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Trading Penny Stocks: A Guide for All Levels In 2017,Business Finance,All Levels,3.0,en
739964,Investing And Trading For Beginners: Mastering Price Charts,Investing And Trading For Beginners: Mastering Price Charts,Business Finance,Beginner Level,1.0,en
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains","Trading Stock Chart Patterns For Immediate, Explosive Gains",Business Finance,All Levels,2.5,en
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Options Trading 3 : Advanced Stock Profit and Success Method,Business Finance,Expert Level,2.5,en
1167710,The Only Investment Strategy You Need For Your Retirement,The Only Investment Strategy You Need For Your Retirement,Business Finance,All Levels,1.0,en
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Forex Trading Secrets of the Pros With Amazon's AWS,Business Finance,All Levels,5.0,en
975046,Trading Options With Money Flow,Trading Options With Money Flow,Business Finance,All Levels,1.0,en
742602,Financial Management Risk and Return For Securities,Financial Management Risk and Return For Securities,Business Finance,All Levels,1.5,en
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Forex Trading Course: Work Smarter Not Harder Proven Results,Business Finance,All Levels,2.0,en
1196544,Python Algo Trading: Sentiment Trading with News,Python Algo Trading: Sentiment Trading with News,Business Finance,All Levels,7.0,en
504036,Short Selling: Learn To Sell Stocks Before The Fall,Short Selling: Learn To Sell Stocks Before The Fall,Business Finance,Intermediate Level,1.5,en
719698,Basic Technical Analysis: Learn the structure of the market,Basic Technical Analysis: Learn the structure of the market,Business Finance,Beginner Level,1.5,en
564966,The Complete Chart Pattern Trading Course: A Proven Approach,The Complete Chart Pattern Trading Course: A Proven Approach,Business Finance,All Levels,4.0,en
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Business Finance,All Levels,1.5,en
58977,Financial Statements Made Easy,Financial Statements Made Easy,Business Finance,Beginner Level,0.5833333333333334,en
1242604,Winning Forex Trading with Live Forex Trading Examples,Winning Forex Trading with Live Forex Trading Examples,Business Finance,All Levels,2.0,en
798740,Forex Traders - Create Your First Trading Robot. No Coding!,Forex Traders - Create Your First Trading Robot. No Coding!,Business Finance,All Levels,4.0,en
506568,Create A Business From Home Trading Stocks Today In 2017,Create A Business From Home Trading Stocks Today In 2017,Business Finance,All Levels,2.0,en
1020760,Introduction to Accounting : Mastering Financial Statements,Introduction to Accounting : Mastering Financial Statements,Business Finance,Beginner Level,1.0,en
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,The Complete Ethereum Course: Get .01 Ether In Your Wallet,Business Finance,All Levels,2.0,en
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Business Finance,All Levels,5.0,en
353044,Investing 101: The Complete Online Investing Course,Investing 101: The Complete Online Investing Course,Business Finance,All Levels,4.5,en
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Business Finance,Intermediate Level,2.0,en
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Business Finance,All Levels,4.5,en
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,Forex Trading: Your Complete Guide to Get Started Like a Pro,Business Finance,Beginner Level,3.0,en
1170894,Python Algo Stock Trading: Automate Your Trading!,Python Algo Stock Trading: Automate Your Trading!,Business Finance,Beginner Level,2.5,en
948974,THE Forex Robot: Incredible ROI (Robot Included),THE Forex Robot: Incredible ROI (Robot Included),Business Finance,All Levels,1.5,en
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Business Finance,All Levels,6.5,en
1217778,Mastering High Probability Iron Condor Options Trading,Mastering High Probability Iron Condor Options Trading,Business Finance,All Levels,2.0,en
1246208,The Complete Short Course on Ethereum,The Complete Short Course on Ethereum,Business Finance,All Levels,1.5,en
434774,Options Trading Stocks: Proven Toolbox For Financial Success,Options Trading Stocks: Proven Toolbox For Financial Success,Business Finance,Intermediate Level,10.0,en
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Business Finance,Beginner Level,5.5,en
888716,"Introduction to Finance, Accounting, Modeling and Valuation","Introduction to Finance, Accounting, Modeling and Valuation",Business Finance,All Levels,4.5,en
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,Beginner to Pro in Excel: Financial Modeling and Valuation,Business Finance,All Levels,7.5,en
965832,The Complete Investment Banking Course 2017,The Complete Investment Banking Course 2017,Business Finance,All Levels,5.5,en
648826,The Complete Financial Analyst Course 2017,The Complete Financial Analyst Course 2017,Business Finance,All Levels,10.0,en
1035472,Python for Finance: Investment Fundamentals & Data Analytics,Python for Finance: Investment Fundamentals & Data Analytics,Business Finance,All Levels,6.5,en
1154754,Financial Modeling for Startups & Small Businesses,Financial Modeling for Startups & Small Businesses,Business Finance,Beginner Level,11.5,en
627540,Options Trading - How to Win with Weekly Options,Options Trading - How to Win with Weekly Options,Business Finance,Intermediate Level,1.0,en
301442,Black Algo Trading: Build Your Trading Robot,Black Algo Trading: Build Your Trading Robot,Business Finance,All Levels,16.0,en
640100,Accounting & Financial Statement Analysis: Complete Training,Accounting & Financial Statement Analysis: Complete Training,Business Finance,All Levels,3.0,en
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,Cryptocurrency Trading: Complete Guide To Trading Altcoins,Business Finance,All Levels,5.0,en
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Business Finance,All Levels,5.5,en
1214702,Three Steps Trading - Live Trading - Real Account,Three Steps Trading - Live Trading - Real Account,Business Finance,All Levels,5.0,en
848664,Option Trading for Rookies:  Understand Options Completely,Option Trading for Rookies:  Understand Options Completely,Business Finance,All Levels,2.0,en
1142570,How I Learned Stock Trading (and How You Can Too),How I Learned Stock Trading (and How You Can Too),Business Finance,Expert Level,2.0,en
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,Learn to Trade for Profit: Find and Trade Winning Stocks,Business Finance,All Levels,3.0,en
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Business Finance,Intermediate Level,2.0,en
885974,Four Fundamentals of Financial Planning,Four Fundamentals of Financial Planning,Business Finance,All Levels,1.0,en
1151092,Options Trading - Calendar Spread Course for Every Trader,Options Trading - Calendar Spread Course for Every Trader,Business Finance,All Levels,1.5,en
358326,Dividend Investing: Build Your Portfolio for a Better Future,Dividend Investing: Build Your Portfolio for a Better Future,Business Finance,Beginner Level,4.0,en
153210,Learn Accounting. Understand Business.,Learn Accounting. Understand Business.,Business Finance,Beginner Level,5.5,en
834836,How to Consistently Win Trading Stocks in 30 Days or Less,How to Consistently Win Trading Stocks in 30 Days or Less,Business Finance,Intermediate Level,1.0,en
1171994,A Beginner's Guide to Quantopian Futures API,A Beginner's Guide to Quantopian Futures API,Business Finance,Intermediate Level,1.5,en
1239068,How to Buy Cheap Options - Options Trading Pricing Model,How to Buy Cheap Options - Options Trading Pricing Model,Business Finance,All Levels,1.0,en
985922,Excel Crash Course: Master Excel for Financial Analysis,Excel Crash Course: Master Excel for Financial Analysis,Business Finance,All Levels,3.5,en
765562,"Comprehensive Guide to Financial Markets, Investing &Trading","Comprehensive Guide to Financial Markets, Investing &Trading",Business Finance,Beginner Level,9.0,en
165964,Stock Trading Ninja: Complete System For Trading Success,Stock Trading Ninja: Complete System For Trading Success,Business Finance,All Levels,4.5,en
855172,Hedge and Mutual Fund Careers: The Complete Guide,Hedge and Mutual Fund Careers: The Complete Guide,Business Finance,All Levels,8.5,en
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,Algorithmic Trading In Forex: Create Your First Forex Robot!,Business Finance,All Levels,6.5,en
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,The Power Modeling Bootcamp: Advanced Excel in 10 Days,Business Finance,All Levels,5.5,en
43319,Options Trading Basics (3-Course Bundle),Options Trading Basics (3-Course Bundle),Business Finance,Beginner Level,11.0,en
408440,How to Win 97% of Your Options Trades,How to Win 97% of Your Options Trades,Business Finance,All Levels,1.5,en
918688,How I Make Consistent Returns Trading Options,How I Make Consistent Returns Trading Options,Business Finance,All Levels,3.5,en
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!","Forex Strategies: Kelly Criterion, Larry Williams and more!",Business Finance,All Levels,3.0,en
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex","Elite Trend Trader: Learn To Trade Stocks, Options & Forex",Business Finance,All Levels,5.0,en
401784,Options Trading Introduction: Day Trade Stock Options,Options Trading Introduction: Day Trade Stock Options,Business Finance,Beginner Level,2.5,en
1122792,The Almost Perfect Options Trading Strategy System - Unique,The Almost Perfect Options Trading Strategy System - Unique,Business Finance,All Levels,1.0,en
709500,Forex Trading -  Learn to Trade Forex Like the Banks,Forex Trading -  Learn to Trade Forex Like the Banks,Business Finance,All Levels,1.0,en
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,Learn to Trade for Profit:Trading with Japanese Candlesticks,Business Finance,Beginner Level,3.0,en
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,The Most Powerful Options Spread Trading Front Ratio Spread,Business Finance,All Levels,2.0,en
834558,What Finance Job is for You? Explanation of 14 Finance Roles,What Finance Job is for You? Explanation of 14 Finance Roles,Business Finance,All Levels,4.0,en
551968,The Blueprint for Successful Stock Trading,The Blueprint for Successful Stock Trading,Business Finance,All Levels,1.0,en
1005658,Trading for Beginners - Intermediate Level,Trading for Beginners - Intermediate Level,Business Finance,Beginner Level,5.0,en
746432,Start Trading Stocks Using Technical Analysis!,Start Trading Stocks Using Technical Analysis!,Business Finance,All Levels,4.0,en
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Business Finance,Expert Level,1.5,en
284118,VPS for Forex Trading - Protect Your Forex Robots,VPS for Forex Trading - Protect Your Forex Robots,Business Finance,All Levels,2.0,en
302562,Introduction to Accounting: The Language of Business,Introduction to Accounting: The Language of Business,Business Finance,Beginner Level,11.5,en
596598,Basic Excel for Basic Bookkeeping and Accounting,Basic Excel for Basic Bookkeeping and Accounting,Business Finance,Beginner Level,1.5,en
860890,"Using 'The Greeks To Understand Options""","Using 'The Greeks To Understand Options""",Business Finance,All Levels,1.0,en
951050,Trading Options For Consistent Returns: Calendar Spreads,Trading Options For Consistent Returns: Calendar Spreads,Business Finance,All Levels,1.5,en
796450,How to Create Your Personal Budget,How to Create Your Personal Budget,Business Finance,All Levels,1.0,en
502772,The Complete Value Investing Course: A Proven Approach,The Complete Value Investing Course: A Proven Approach,Business Finance,All Levels,4.5,en
1102462,FOREX Trading with Price Action,FOREX Trading with Price Action,Business Finance,Beginner Level,1.0,en
1062092,Emini ES Futures - Advanced Non Directional Options Trading,Emini ES Futures - Advanced Non Directional Options Trading,Business Finance,All Levels,1.5,en
891484,Forex Trading - Advanced Fundamental Analysis,Forex Trading - Advanced Fundamental Analysis,Business Finance,Intermediate Level,2.5,en
1217064,How To Invest With Tiny Capital In Stocks ?,How To Invest With Tiny Capital In Stocks ?,Business Finance,Beginner Level,0.7,en
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Learn How To Successfully Trade Stocks: In 5 Simple Steps,Business Finance,All Levels,9.5,en
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Business Finance,Beginner Level,5.0,en
474928,Intermediate Options trading concepts for Stocks and Options,Intermediate Options trading concepts for Stocks and Options,Business Finance,All Levels,1.0,en
1148774,Options Trading 101: The Basics,Options Trading 101: The Basics,Business Finance,Beginner Level,0.55,en
959144,Practical Accounts APP Overview,Practical Accounts APP Overview,Business Finance,Intermediate Level,3.0,en
1233350,Bitcoin Profits for Beginners,Bitcoin Profits for Beginners,Business Finance,Beginner Level,1.5,en
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,Trend Traders Club: How To Find And Trade Fast Moving Trends,Business Finance,All Levels,5.5,en
724062,Financial Statements Basics,Financial Statements Basics,Business Finance,Beginner Level,2.0,en
474212,High performance Stock Trading using key Options techniques,High performance Stock Trading using key Options techniques,Business Finance,All Levels,1.5,en
771276,Introduction to Financial Statement Analysis,Introduction to Financial Statement Analysis,Business Finance,Beginner Level,1.5,en
388164,Basics of Economics (College Level),Basics of Economics (College Level),Business Finance,All Levels,1.5,en
133536,Stock Market Investing for Beginners,Stock Market Investing for Beginners,Business Finance,Beginner Level,1.5,en
655300,Accounting for Beginners : Learn Basics in under 1 Hour,Accounting for Beginners : Learn Basics in under 1 Hour,Business Finance,Beginner Level,1.5,en
949504,Straddle Options Trading - Profit in Any Market Direction,Straddle Options Trading - Profit in Any Market Direction,Business Finance,All Levels,1.0,en
265960,Fundamentals of Forex Trading,Fundamentals of Forex Trading,Business Finance,All Levels,1.0,en
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals","Binary Options: Trading Strategies, 90% Accuracy and Signals",Business Finance,Beginner Level,1.0,en
923616,Website Investing 101 - Buying & Selling Online Businesses,Website Investing 101 - Buying & Selling Online Businesses,Business Finance,All Levels,2.0,en
741898,Practical Accounts & Bookkeeping Automated Overview ,Practical Accounts & Bookkeeping Automated Overview ,Business Finance,All Levels,4.5,en
381330,Live Account - ETF Trading System - Hacking The Stock Market,Live Account - ETF Trading System - Hacking The Stock Market,Business Finance,All Levels,5.0,en
545918,Stock Market Leverage: How to Start Trading Options Wisely,Stock Market Leverage: How to Start Trading Options Wisely,Business Finance,Beginner Level,1.5,en
191854,Stock Market Foundations,Stock Market Foundations,Business Finance,Beginner Level,2.0,en
471546,Crash Course on Working Capital Management,Crash Course on Working Capital Management,Business Finance,All Levels,1.0,en
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,Business Finance,All Levels,62.0,en
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,Business Finance,All Levels,1.5,en
1191504,How to create a routine Trading,How to create a routine Trading,Business Finance,All Levels,0.1333333333333333,en
